表2 2019年2月7天的功率预测结果,,,,,
起报时间,预报时间,实际功率(MW),问题二LSTM方法预测功率(MW),问题三未降尺度LSTM+XGBoost方法预测功率(MW),问题四降尺度LSTM+XGBoost方法预测功率(MW)
2019/02/24/00:00,2019/02/25/08:30,128,131.18,180.13,128.2
2019/02/24/00:00,2019/02/25/08:45,140,138.26,182.65,133.78
2019/02/24/00:00,2019/02/25/09:00,168,152.13,193.75,146.01
2019/02/24/00:00,2019/02/25/09:15,196,189.18,246.43,181.89
2019/02/24/00:00,2019/02/25/09:30,224,222.3,300.31,226.12
2019/02/24/00:00,2019/02/25/09:45,252,249.73,339.03,255.54
2019/02/24/00:00,2019/02/25/10:00,280,275.74,375.95,284.85
2019/02/24/00:00,2019/02/25/10:15,312,301.92,395.7,311.55
2019/02/24/00:00,2019/02/25/10:30,340,334.42,430.12,338.18
2019/02/24/00:00,2019/02/25/10:45,368,359.62,455.98,364.93
2019/02/24/00:00,2019/02/25/11:00,372,384.92,481.94,392.54
2019/02/24/00:00,2019/02/25/11:15,372,374.22,479.64,381.47
2019/02/24/00:00,2019/02/25/11:30,372,366.23,484.9,362.89
2019/02/24/00:00,2019/02/25/11:45,372,366.42,494.72,363.86
2019/02/24/00:00,2019/02/25/12:00,360,366.89,509.76,375.57
2019/02/24/00:00,2019/02/25/12:15,348,348.15,492.37,358.63
2019/02/24/00:00,2019/02/25/12:30,336,333.22,464.55,332.11
2019/02/24/00:00,2019/02/25/12:45,324,321.21,454.86,324.39
2019/02/24/00:00,2019/02/25/13:00,316,308.77,436.79,317.73
2019/02/24/00:00,2019/02/25/13:15,304,301.87,427.69,305.94
2019/02/24/00:00,2019/02/25/13:30,292,288.16,411.79,293.28
2019/02/24/00:00,2019/02/25/13:45,280,274.33,390.28,273.59
2019/02/24/00:00,2019/02/25/14:00,256,261.57,372.75,262.84
2019/02/24/00:00,2019/02/25/14:15,228,232.35,341.96,240.23
2019/02/24/00:00,2019/02/25/14:30,204,199.62,302.86,200.01
2019/02/24/00:00,2019/02/25/14:45,176,176.08,278.41,175.24
